Country,Severity,Displaced
Brazil,1.5,10000.0
Qatar,1.0,0.0
Bangladesh,1.5,23.0
USA,2.0,4000.0
Guinea,1.0,0.0
Guyana,1.5,0.0
Costa Rica,1.5,700.0
France,1.5,0.0
Bahamas,1.5,300.0
Georgia,1.5,200.0
Somalia,1.0,0.0
Guatamala,2.0,433.0
Nigeria,1.5,2000.0
Bolivia,1.5,4000.0
Argentina,1.5,11000.0
Ghana,1.5,5300.0
Australia,2.0,1000.0
Iran,1.0,0.0
Algeria,1.0,3000.0
Malawi,2.0,336000.0
China,1.5,82000.0
Chile,2.0,2514.0
Dominican Republic,1.0,12000.0
Haiti,1.0,1000.0
Tanzania,1.5,5000.0
Maldives,1.5,0.0
Philippines,2.0,60000.0
Indonesia,1.0,4000.0
Macedonia,1.0,0.0
Vietnam,2.0,3000.0
Japan,2.0,100000.0
Columbia,2.0,200.0
New Zealand,1.5,100.0
Nepal,1.0,0.0
Russia,1.5,1200.0
Pakistan,1.5,803000.0
Romania,1.5,184.0
Albania,1.0,300.0
Angola,1.5,1000.0
Myanmar,2.0,85400.0
Mexico,1.5,800.0
Egypt,1.5,6.0
Kazahkstan,1.0,5600.0
Uruguay,2.0,10000.0
India,2.0,400000.0
Madagascar,1.5,25000.0
United Kingdom,2.0,64000.0
Camaroun,1.0,3000.0
Greece,1.5,500.0
Paraguay,2.0,170000.0
Kenya,1.5,100000.0
Niger,1.5,3000.0
Tajikistan,1.5,10000.0
