Country,Severity,Displaced
Brazil,2.0,700000.0
Bangladesh,2.0,175000.0
USA,2.0,1000000.0
Sudan,1.0,0.0
India,2.0,152000.0
Nepal,2.0,1500.0
Ethiopia,1.0,8000.0
West Germany,1.0,0.0
Nigeria,1.0,6000.0
Bolivia,1.0,1000.0
Venezuela,1.0,15000.0
Argentina,2.0,100000.0
Benin,1.0,48000.0
Comoros islands,1.0,35000.0
Algeria,1.0,3000.0
Phillipines,1.0,444.0
China,2.0,2000000.0
Thailand,1.0,7640.0
Dominican Republic,1.0,895.0
Philippines,1.0,130000.0
Indonesia,1.0,2000.0
Sweden,1.0,0.0
New Zealand,1.0,200.0
Jamaica,1.0,0.0
Chad,1.0,1600.0
Mexico,1.0,460.0
Viet Nam,1.0,0.0
Austria,2.0,0.0
Mozambique,2.0,0.0
Japan,1.0,1200.0
Trinidad,1.0,0.0
